transaction_date,owner,ticker,asset_type,type,amount,senator,basis,SPY basis
12/31/2020,Spouse,OTIS,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,67,372
12/31/2020,Spouse,XOM,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,41,372
12/31/2020,Spouse,CLX,Stock,Sale (Partial),"$1,001 - $15,000",Shelley M Capito,201,372
12/31/2020,Self,CARR,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,37,372
12/15/2020,Spouse,WFC,Stock,Sale (Full),"$15,001 - $50,000",Shelley M Capito,29,368
12/30/2020,Spouse,TSLA,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,682,372
12/30/2020,Spouse,PBA,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,23,372
12/30/2020,Spouse,DD,Stock,Sale (Partial),"$1,001 - $15,000",Thomas R Carper,69,372
12/30/2020,Spouse,DOW,Stock,Sale (Partial),"$1,001 - $15,000",Thomas R Carper,54,372
12/30/2020,Spouse,VTRS,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,17,372
12/30/2020,Spouse,NTAP,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,65,372
12/30/2020,Spouse,BMY,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,61,372
12/14/2020,Self,AEP,Stock,Purchase,"$1,001 - $15,000",Gary C Peters,83,366
12/22/2020,Spouse,BA,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,220,367
12/22/2020,Spouse,PLUG,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,35,367
12/22/2020,Spouse,SQ,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,239,367
12/21/2020,Spouse,BA,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,215,368
12/21/2020,Spouse,NVDA,Stock,Purchase,"$50,001 - $100,000",Pat Roberts,131,368
12/21/2020,Spouse,EXPI,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,38,368
12/21/2020,Spouse,ETY,Stock,Sale (Partial),"$100,001 - $250,000",Pat Roberts,12,368
12/21/2020,Spouse,W,Stock,Sale (Full),"$50,001 - $100,000",Pat Roberts,278,368
12/21/2020,Spouse,TSLA,Stock,Sale (Full),"$1,001 - $15,000",Pat Roberts,657,368
12/11/2020,Spouse,TSLA,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,611,365
12/07/2020,Spouse,BA,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,239,368
12/07/2020,Spouse,TSLA,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,624,368
12/04/2020,Spouse,BA,Stock,Sale (Full),"$15,001 - $50,000",Pat Roberts,234,368
12/22/2020,Spouse,COST,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,362,367
12/22/2020,Spouse,AAPL,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,131,367
12/16/2020,Spouse,AAPL,Stock,Sale (Partial),"$100,001 - $250,000",Pat Roberts,127,370
12/02/2020,Spouse,ZM,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,407,365
12/15/2020,Self,AIV,Stock,Purchase,"$15,001 - $50,000",Patrick J Toomey,5,368
11/30/2020,Self,AIV,Stock,Purchase,"$1,001 - $15,000",Patrick J Toomey,4,361
